CUSTOMER_CODE,INST_CAPACITY,WTG_MODEL_NAME,STATE,ITEM_CODE,RELATED_TO,CALL_STATUS,Closure Range,Closure Days,VIOLATED
CCU00013,C3,W2,GU,IC1,RT013,CS1,CR1,0.705672787,0
CCS00277,C3,W2,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCR00013,C5,W4,GU,IC1,RT013,CS1,CR3,5.957429319,1
CCR00097,C5,W6,TN,IC1,RT009,CS1,CR1,0.705672787,0
CCR00097,C5,W7,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCR00079,C3,W2,GU,IC1,RT013,CS1,CR1,0.705672787,0
CCR00079,C5,W7,RA,IC1,RT013,CS1,CR1,0.705672787,0
CCL00026,C5,W7,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCK00055,C3,W2,GU,IC1,RT013,CS1,CR1,0.705672787,0
CCI00003,C5,W6,GU,IC1,RT013,CS1,CR2,0.705672787,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR1,0.705672787,0
CCG00056,C8,W15,RA,IC1,RT013,CS1,CR1,0.705672787,0
CCG00056,C8,W15,KA,IC1,RT013,CS1,CR1,0.705672787,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR1,0.705672787,0
CCE00024,C5,W6,RA,IC1,RT013,CS1,CR1,0.705672787,0
CCB00022,C5,W9,GU,IC1,RT013,CS1,CR1,0.705672787,0
CCS00211,C6,W12,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCR00013,C5,W4,GU,IC1,RT013,CS1,CR3,5.957429319,1
CCS00249,C5,W9,MH,IC1,RT013,CS1,CR3,23.01449275,1
CCR00020,C5,W6,GU,IC1,RT013,CS1,CR4,118.8530817,1
CCP00068,C6,W14,MP,IC1,RT013,CS1,CR4,118.8530817,1
CCZ00003,C5,W6,RA,IC2,RT023,CS1,CR3,5.957429319,1
CCS00046,C5,W6,RA,IC1,RT013,CS1,CR1,0.705672787,0
CCS00211,C6,W12,MH,IC1,RT013,CS1,CR1,0.705672787,0
CCN00046,C6,W14,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCE00024,C5,W6,RA,IC1,RT013,CS1,CR1,0.705672787,1
CCL00026,C5,W7,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCF00019,C6,W14,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCF00019,C6,W14,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCF00019,C3,W2,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00019,C3,W2,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCG00056,C8,W15,KA,IC1,RT013,CS1,CR1,0.705672787,0
CCA00180,C6,W14,KA,IC1,RT013,CS1,CR1,0.705672787,0
CCU00013,C3,W2,GU,IC1,RT013,CS1,CR1,0.705672787,0
CCF00020,C6,W14,GU,IC1,RT013,CS1,CR1,0.705672787,0
CCK00095,C6,W14,GU,IC1,RT013,CS1,CR1,0.705672787,0
CCR00121,C6,W12,TN,IC1,RT013,CS1,CR3,23.01449275,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCN00039,C8,W16,RA,IC1,RT013,CS1,CR1,0.705672787,1
CCF00020,C6,W14,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCS00184,C3,W2,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCM00009,C5,W4,KA,IC1,RT009,CS1,CR3,5.957429319,1
CCA00184,C8,W15,GU,IC1,RT013,CS1,CR1,0.705672787,0
CCA00121,C5,W6,TN,IC1,RT013,CS1,CR1,0.705672787,0
CCB00087,C5,W6,TN,IC1,RT013,CS1,CR1,0.705672787,0
CCB00087,C5,W6,TN,IC1,RT013,CS1,CR1,0.705672787,0
CCA00121,C5,W7,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCB00087,C5,W7,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCA00100,C3,W2,GU,IC1,RT013,CS1,CR1,0.705672787,1
CCA00039,C5,W6,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCB00029,C3,W2,GU,IC1,RT013,CS1,CR1,0.705672787,0
CCB00029,C3,W2,GU,IC1,RT013,CS1,CR1,0.705672787,0
CCB00022,C6,W14,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCB00072,C3,W2,GU,IC1,RT013,CS1,CR1,0.705672787,1
CCC00063,C3,W2,GU,IC1,RT013,CS1,CR1,0.705672787,0
CCC00051,C3,W2,GU,IC1,RT013,CS1,CR1,0.705672787,1
CCE00062,C5,W7,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W17,RA,IC1,RT028,CS1,CR1,0.705672787,0
CCF00020,C8,W17,RA,IC1,RT028,CS1,CR1,0.705672787,0
CCF00020,C8,W17,RA,IC1,RT028,CS1,CR1,0.705672787,0
CCG00056,C8,W16,RA,IC1,RT028,CS1,CR1,0.705672787,0
CCN00039,C8,W16,RA,IC1,RT028,CS1,CR1,0.705672787,0
CCN00039,C8,W16,RA,IC1,RT028,CS1,CR1,0.705672787,0
CCT00038,C6,W14,RA,IC1,RT013,CS1,CR1,0.705672787,0
CCN00039,C8,W16,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCN00039,C8,W17,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCG00056,C8,W15,KA,IC1,RT013,CS1,CR1,0.705672787,0
CCF00020,C6,W14,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCN00039,C6,W12,GU,IC1,RT013,CS1,CR2,0.705672787,1
CCN00039,C6,W12,GU,IC1,RT013,CS1,CR2,0.705672787,1
CCT00038,C6,W14,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCK00004,C6,W14,KA,IC1,RT013,CS1,CR1,0.705672787,0
CCM00039,C5,W6,MH,IC1,RT013,CS1,CR1,0.705672787,0
CCK00008,C5,W6,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCK00106,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCS00257,C8,W15,KA,IC1,RT030,CS1,CR2,5.957429319,1
CCM00044,C6,W12,MH,IC1,RT013,CS1,CR4,118.8530817,1
CCP00050,C5,W9,MH,IC1,RT013,CS1,CR3,5.957429319,1
CCJ00001,C3,W2,MH,IC1,RT013,CS1,CR3,5.957429319,1
CCP00040,C5,W9,MH,IC1,RT013,CS1,CR3,5.957429319,1
CCR00083,C5,W9,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCR00088,C5,W9,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCG00085,C8,W15,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCV00005,C4,W3,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCE00070,C4,W3,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCE00070,C4,W3,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCA00148,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCM00009,C5,W4,KA,IC1,RT009,CS1,CR3,5.957429319,1
CCW00018,C5,W7,TN,IC1,RT011,CS1,CR2,5.957429319,1
CCR00042,C5,W4,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCS00211,C6,W12,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCS00211,C6,W12,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCV00097,C8,W17,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCU00013,C5,W7,RA,IC1,RT013,CS1,CR3,23.01449275,1
CCS00302,C5,W6,TN,IC1,RT013,CS1,CR2,5.957429319,1
CCS00368,C6,W14,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCS00277,C3,W2,RA,IC1,RT013,CS1,CR3,23.01449275,1
CCR00133,C5,W6,GU,IC1,RT013,CS1,CR3,5.957429319,1
CCR00013,C5,W4,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCR00013,C5,W4,GU,IC1,RT013,CS1,CR3,5.957429319,1
CCC00030,C5,W6,TN,IC1,RT013,CS1,CR4,118.8530817,1
CCU00012,C6,W12,TN,IC1,RT031,CS1,CR4,118.8530817,1
CCS00343,C6,W14,TN,IC1,RT031,CS1,CR4,118.8530817,1
CCS00343,C6,W12,TN,IC1,RT031,CS1,CR4,118.8530817,1
CCM00009,C5,W4,KA,IC1,RT009,CS1,CR3,5.957429319,1
CCI00035,C8,W15,MH,IC1,RT031,CS1,CR3,23.01449275,1
CCS00059,C2,W1,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCK00008,C5,W6,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCE00024,C5,W6,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCA00032,C3,W2,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCM00009,C5,W4,KA,IC1,RT009,CS1,CR3,5.957429319,1
CCI00035,C8,W15,MH,IC1,RT031,CS1,CR2,5.957429319,1
CCK00109,C6,W14,MP,IC1,RT031,CS1,CR2,5.957429319,1
CCL00007,C5,W6,RA,IC1,RT013,CS1,CR3,23.01449275,1
CCM00009,C5,W4,KA,IC1,RT009,CS1,CR2,5.957429319,1
CCP00068,C5,W5,MH,IC1,RT013,CS1,CR3,23.01449275,1
CCP00068,C5,W5,MH,IC1,RT013,CS1,CR3,23.01449275,1
CCS00343,C6,W12,TN,IC1,RT009,CS1,CR4,118.8530817,1
CCS00343,C6,W14,TN,IC1,RT009,CS1,CR4,118.8530817,1
CCS00160,C5,W6,TN,IC2,RT033,CS1,CR4,118.8530817,1
CCK00008,C5,W6,RA,IC1,RT013,CS1,CR1,0.705672787,0
CCA00069,C5,W9,MH,IC1,RT013,CS1,CR3,5.957429319,1
CCA00060,C5,W10,MH,IC1,RT013,CS1,CR3,23.01449275,1
CCA00060,C5,W9,MH,IC1,RT013,CS1,CR4,118.8530817,1
CCM00009,C5,W4,KA,IC1,RT009,CS1,CR2,5.957429319,1
CCS00087,C2,W1,TN,IC2,RT023,CS1,CR3,23.01449275,1
CCR00157,C6,W14,MP,IC1,RT013,CS1,CR1,0.705672787,0
CCR00059,C3,W2,RA,IC1,RT013,CS1,CR1,0.705672787,1
CCN00028,C2,W1,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCN00013,C5,W6,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCR00047,C5,W4,KA,IC1,RT031,CS1,CR2,5.957429319,1
CCK00008,C5,W6,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCM00009,C5,W10,MH,IC1,RT031,CS1,CR4,118.8530817,1
CCM00009,C5,W10,MH,IC1,RT013,CS1,CR4,118.8530817,1
CCC00084,C5,W7,RA,IC1,RT031,CS1,CR4,118.8530817,1
CCM00134,C8,W15,RA,IC1,RT031,CS1,CR3,23.01449275,1
CCZ00004,C5,W9,MH,IC1,RT013,CS1,CR3,5.957429319,1
CCI00009,C5,W4,MH,IC1,RT013,CS1,CR3,5.957429319,1
CCF00028,C5,W9,MH,IC1,RT031,CS1,CR3,23.01449275,1
CCK00033,C5,W9,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCA00069,C5,W9,MH,IC1,RT013,CS1,CR3,5.957429319,1
CCR00133,C5,W6,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCC00082,C5,W4,TN,IC1,RT013,CS1,CR3,23.01449275,1
CCN00046,C3,W2,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCM00009,C5,W4,KA,IC1,RT009,CS1,CR2,5.957429319,1
CCG00066,C8,W15,GU,IC1,RT013,CS1,CR4,118.8530817,1
CCS00059,C2,W1,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCR00059,C3,W2,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCN00013,C5,W6,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCK00008,C5,W6,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00019,C6,W14,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCC00040,C3,W2,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCA00032,C5,W6,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCT00025,C5,W9,MH,IC1,RT013,CS1,CR3,5.957429319,1
CCE00036,C5,W6,MH,IC1,RT013,CS1,CR3,5.957429319,1
CCD00034,C5,W10,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCS00160,C5,W6,TN,IC2,RT033,CS1,CR4,118.8530817,1
CCM00009,C5,W4,KA,IC1,RT009,CS1,CR2,5.957429319,1
CCE00050,C5,W7,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCS00197,C3,W2,RA,IC1,RT013,CS1,CR1,0.705672787,1
CCS00059,C2,W1,RA,IC1,RT013,CS1,CR1,0.705672787,1
CCA00032,C5,W6,RA,IC1,RT013,CS1,CR1,0.705672787,1
CCV00005,C4,W3,MH,IC1,RT013,CS1,CR4,118.8530817,1
CCD00036,C5,W9,MH,IC1,RT013,CS1,CR3,23.01449275,1
CCJ00001,C3,W2,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCZ00003,C5,W6,RA,IC1,RT013,CS1,CR1,0.705672787,0
CCM00009,C5,W4,KA,IC1,RT009,CS1,CR2,5.957429319,1
CCM00009,C5,W4,KA,IC1,RT009,CS1,CR3,5.957429319,1
CCM00009,C5,W10,MH,IC1,RT009,CS1,CR2,5.957429319,1
CCM00009,C5,W4,KA,IC1,RT009,CS1,CR2,5.957429319,1
CCP00030,C5,W4,KA,IC1,RT009,CS1,CR2,5.957429319,1
CCP00030,C5,W4,KA,IC1,RT009,CS1,CR2,5.957429319,1
CCR00047,C5,W4,KA,IC1,RT009,CS1,CR2,5.957429319,1
CCR00047,C5,W4,KA,IC1,RT009,CS1,CR2,5.957429319,1
CCS00211,C6,W12,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCS00144,C2,W1,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCL00018,C2,W1,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCA00057,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCG00029,C5,W6,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCP00111,C8,W15,MH,IC1,RT013,CS1,CR3,23.01449275,1
CCW00017,C6,W14,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCV00097,C8,W16,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCU00013,C5,W7,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCU00013,C5,W7,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCG00066,C8,W15,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCA00121,C5,W7,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCA00121,C5,W6,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCA00121,C5,W6,TN,IC1,RT013,CS1,CR2,5.957429319,1
CCB00087,C5,W6,TN,IC1,RT009,CS1,CR2,5.957429319,1
CCA00096,C5,W6,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCB00029,C3,W2,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCE00007,C5,W4,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C6,W14,GU,IC1,RT013,CS1,CR4,118.8530817,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCG00056,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
